Label,Sentence,Chunk ID,MP Index,Match Type
Climate change,"residential development pressure, business development pressure, changed agricultural use, recreation and tourism, comprehensive water management, infrastructure and traffic, nature and landscape, heritage and archaeology, climate changes/calamities and cumulation of (small-scale) interventions",281.0,0.0,fuzzy split (first half)
Climate change,"residential development pressure, business development pressure, changed agricultural use, recreation and tourism, comprehensive water management, infrastructure and traffic, nature and landscape, heritage and archaeology, climate changes/calamities and cumulation of (small-scale) interventions",282.0,0.0,fuzzy split (second half)
Conservation,"The maintenance of roads, roadsides, avenues, waterways and parts of the landscape are included in the regular management and maintenance programmes of municipalities, water boards and management organisations such as the Forestry Commission, Flemish Land Agency, Kempens Landschap, the Foundation Society of Benevolence and the State of the Netherlands.",300.0,0.0,fuzzy split (first half)
Conservation,"The maintenance of roads, roadsides, avenues, waterways and parts of the landscape are included in the regular management and maintenance programmes of municipalities, water boards and management organisations such as the Forestry Commission, Flemish Land Agency, Kempens Landschap, the Foundation Society of Benevolence and the State of the Netherlands.",301.0,0.0,fuzzy split (second half)
Knowledge transfer,"In the field of the conservation of structures and objects, including green landscape elements, a great deal of knowledge is also available at the level of the site managers, within the provinces and in the various regional and management organisations ",309.0,0.0,fuzzy
Knowledge transfer,"Annual network meetings involving all partners provide opportunities for site visits, and learning and exchange of best practice",982.0,1.0,fuzzy
Legislation,"both the granting of permits for national monuments and the protection of protected cityscapes, townscapes and villagescapes will also be transferred to the Environment and Planning Act",1241.0,2.0,split (first half)
Legislation,"both the granting of permits for national monuments and the protection of protected cityscapes, townscapes and villagescapes will also be transferred to the Environment and Planning Act",1242.0,2.0,split (second half)
Legislation,"The designation ‘Value – Protected Cityscape’ also contains a legal translation of the intention of the Designation Decree for the protected cityscape,",1265.0,2.0,split (first half)
Legislation,"The designation ‘Value – Protected Cityscape’ also contains a legal translation of the intention of the Designation Decree for the protected cityscape,",1266.0,2.0,split (second half)
Framework,"By 2029 at the latest, every municipality must have an environmental plan that meets all the legal requirements of the Environment and Planning Act",1268.0,2.0,fuzzy
Heritage inclusion,The Environment and Planning Act requires that the municipality must take due account of the importance of the preservation of cultural heritage and the preservation of the Outstanding Universal Value of World Heritage,1270.0,2.0,fuzzy
Framework,"It is evident from the Building Aesthetics Policy Document that plans should not only be assessed as separate entities, but also in conjunction with the environment",1272.0,2.0,split (first half)
Framework,"It is evident from the Building Aesthetics Policy Document that plans should not only be assessed as separate entities, but also in conjunction with the environment",1273.0,2.0,split (second half)
Multi-level management,"1. providing a clear overarching description of the managment system at the regional, national, and trilateral level; ",2061.0,4.0,fuzzy
Coherence,"The targets agreed upon for landscape and culture, water and sediment, salt marshes, the tidal area, beaches and dunes, estuaries, the offshore area, the rural area, birds, marine mammals, and fish are the basis for the trilaterally and regionally existing topic specific visions, strategies, and plans.",2083.0,4.0,fuzzy split (first half)
Coherence,"The targets agreed upon for landscape and culture, water and sediment, salt marshes, the tidal area, beaches and dunes, estuaries, the offshore area, the rural area, birds, marine mammals, and fish are the basis for the trilaterally and regionally existing topic specific visions, strategies, and plans.",2084.0,4.0,fuzzy split (second half)
Monitoring,"each EU member state reports every six years about the progress made on the implementation of the Habitats Directive, specifically on the status and trends of the habitat types and species (§ 17, Habitats Directive Reporting), as well as the Birds Directive, Water Framework Directive, and the Marine Strategy Framework Directive",2117.0,4.0,fuzzy
Heritage inclusion,The focus will be on the support of mitigation measures and initiatives that contribute to decarbonisation while not challenging the safe guarding of the OUV and its key features,2126.0,4.0,fuzzy
Monitoring,Continue monitoring the Trilateral Climate Change Adaptation Strategy and embed the results in long term trilateral climate change policies,2127.0,4.0,split (first half)
Monitoring,Continue monitoring the Trilateral Climate Change Adaptation Strategy and embed the results in long term trilateral climate change policies,2128.0,4.0,split (second half)
Research,"The TWSC, through the trilateral groups responsible for science and fish, to initiate research on fish ecology (e.g., population quantity and quality, ecosystem function, closed areas, nursery function for juvenile fish, endangered species, historic species and habitats occurrence, food webs) to support the OUV and sustainable management",2142.0,4.0,split (first half)
Research,"The TWSC, through the trilateral groups responsible for science and fish, to initiate research on fish ecology (e.g., population quantity and quality, ecosystem function, closed areas, nursery function for juvenile fish, endangered species, historic species and habitats occurrence, food webs) to support the OUV and sustainable management",2143.0,4.0,split (second half)
Knowledge transfer,"The TWSC in communication with competent authorities, the site managers and stake holders, to raise awareness and education among shipping and ports stakeholders; for example regarding Wadden Sea World Heritage values and vulnerability, best practices, existing regulations and standards regarding safety, speed limits/ zoning, pollution, introduction of invasive species. ",2160.0,4.0,fuzzy split (first half)
Knowledge transfer,"The TWSC in communication with competent authorities, the site managers and stake holders, to raise awareness and education among shipping and ports stakeholders; for example regarding Wadden Sea World Heritage values and vulnerability, best practices, existing regulations and standards regarding safety, speed limits/ zoning, pollution, introduction of invasive species. ",2161.0,4.0,fuzzy split (second half)
Stakeholder collaboration,"The key messages serve as input to partners, stakeholders, and others while communicating about the Wadden Sea World Heritage Site",2192.0,4.0,split (first half)
Stakeholder collaboration,"The key messages serve as input to partners, stakeholders, and others while communicating about the Wadden Sea World Heritage Site",2193.0,4.0,split (second half)
Coherence,"The Wadden Sea World Heritage Site, as one of the largest protected areas in Europe. contributes to the EU Biodiersity Strategy for 2030 and, most importantly, helps to build a coherent Trans-European Nature Network",2056.0,4.0,fuzzy
Monitoring,Groundwater monitoring -> Zuiderzeeland Water Board,2618.0,7.0,split (first half)
Monitoring,Groundwater monitoring -> Zuiderzeeland Water Board,2619.0,7.0,split (second half)
Management variation,"Follow-up with measures is not always possible and effective, because there is a great deal of variation and an advantage for one object can generate a disadvantage for a neighbouring object",2460.0,5.0,fuzzy
Heritage inclusion,The latter article is especially imperative. It literally states that in the environmental plan the importance of the preservation of the Outstanding Universal Value of World Heritage should be taken into account. ,1270.0,2.0,split (first half)
Heritage inclusion,The latter article is especially imperative. It literally states that in the environmental plan the importance of the preservation of the Outstanding Universal Value of World Heritage should be taken into account. ,1271.0,2.0,split (second half)
Assessment,Process environment and property: Establish process for undertaking annual assessments of the environmental circumstances and prospect of environmental issues,1478.0,2.0,split (first half)
Assessment,Process environment and property: Establish process for undertaking annual assessments of the environmental circumstances and prospect of environmental issues,1479.0,2.0,split (second half)
