label,definition
Adaptation,"The ability of a system to adjust to climate change (including climate variability and extremes), to moderate potential damages, to take advantage of opportunities or to cope with the consequences. The potential to adjust in order to minimize negative impacts and maximize any benefits from changes in climate."
Assessment,"To evaluate (a person or thing); to estimate (the quality, value, or extent of), to gauge or judge"
Climate change,"Climate change refers to a change in the state of the climate that can be identified 
(e.g. by using statistical tests) by changes in the mean and/or the variability of its 
properties, and that persists for an extended period, typically decades or longer. Climate 
change may be due to natural internal processes or external forces, or to persistent 
anthropogenic changes in the composition of the atmosphere or in land use."
Coherence,"‘Consistency in reasoning, or relating, so that one part of the discourse does not destroy or contradict the rest’"
Conservation,"Efforts to safeguard WH properties from climate-driven and
environmental threats"
Fisheries management,"“The integrated process of information gathering, analysis, planning, consultation, decision-making, allocation of resources and formulation and implementation, with enforcement as necessary, of regulations or rules which govern fisheries activities in order to ensure the continued productivity of the resources and the accomplishment of other fisheries objectives."
Framework,"Provincial, national and transnational plans for climate
adaptation and sustainable development."
Greenery,Green Foliage or vegetation
Heritage inclusion,Heritage-inclusive decision-making in climate adaptation plans
Human activities,Anthropogenic factors that worsen climate impacts such as emitting greenhouse gas (GHG).
Knowledge transfer,"the intentional sharing, dissemination, and application of skills, experiences, cultural competencies, and inclusive practices across individuals, teams, and communities to create equitable and inclusive environments"
Legislation,"Legal provisions at provincial, national and international
levels about climate change, environmental and spatial
planning, nature protection, sustainable development and/or
heritage protection."
Limited heritage inclusion,a lack of heritage-inclusive decision-making in climate adaptation plans
Management variation,"the differences in legal responsibilities, competences, and management approaches that exist between site managers — whether across jurisdictional boundaries, national frameworks, or neighbouring managed objects — which create inconsistencies in the coherence of ecosystem-wide governance, and which may produce uneven or conflicting outcomes for the conservation of a shared natural system."
Maritime management,"the strategic coordination and administration of activities within the maritime industry, covering shipping, logistics, port management, and vessel operations"
Monitoring,"Collecting and analysing data to check that the management system of a heritage place is operating effectively and delivering the right results, and to identify remedial measures in the event of shortcomings or new opportunities."
Multi-level management,"Layered orchestration of personal choices, community actions, and systemic awareness to manage human impact within planetary boundaries"
Prohibition,The action or act of forbidding; an edict.
Research,"Systematic investigation or inquiry aimed at contributing to knowledge of a theory, topic, etc., by careful consideration, observation, or study of a subject. Original critical or scientific investigation carried out under the auspices of an academic or other institution."
Research gap,implies underexplored aspects relevant to climate and environmental sustain ability and requires further investigation
Restoration,"To repair or recover damages caused by climate and
environmental impacts on WH properties."
Soil subsidence,"The more or less gradual sinking or caving in of an area of ground due to geological forces, mining operations. The sinking of a building or other structure into the ground; an instance of this"
Stakeholder collaboration,"he process of engaging and coordinating with internal and external stakeholders to align goals, share resources, and drive successful project outcomes"
Water management,"the complex process of balancing competing interests and addressing water scarcity through the establishment of strong institutions, which involves the effective administration of water resources, including the use of relevant meteorological, hydrological, and socioeconomic data for informed decision-making."
