Label,Sentence,Chunk ID,MP Index,Match Type
Legislation,"This applies to the protection of the heritage as well as to the existing nature values in the component parts and their settings, which also enjoy protection through European directives. ",41.0,0.0,exact
Conservation,"rehabilitation (restoration, adaptive re-use and landscape rehabilitation) is part of the spatial and nature plans. ",53.0,0.0,exact
Coherence,The Site holders will develop a common vision on the further alignment as regards management and maintenance of the heritage (restoration and re-use) and methods to anticipate spatial and functional developments.,53.0,0.0,exact
Assessment,trends and developments which may affect the OUV and the spatial quality of the Colonies have been analysed,53.0,0.0,exact
Climate change,"These concern housing, business activity, altered agricultural use, recreation and tourism, integrated water management, infrastructure and traffic, nature and landscape, heritage and archaeology, climate change and calamities. ",54.0,0.0,exact
Heritage inclusion,"The component parts consist of relict landscape layers in a ‘living landscape’, where developments remain possible, as long as these are neutral in respect of the OUV or supportive of it",54.0,0.0,exact
Conservation,"preventing adverse effects on the OUV, the heritage and the spatial quality in a broad sense. ",54.0,0.0,exact
Legislation,"Most management measures have already been incorporated in existing policies of municipalities, provinces, regions or the State, and are included in the management as implemented by them or by appointed agencies, water managers, project managers and owners.",55.0,0.0,exact
Monitoring,The Colony management and the site managers monitor the trends and identify relevant events. ,55.0,0.0,exact
Climate change,"strong winds, thunderstorms and hail can cause damage to the plantings and buildings.",56.0,0.0,exact
Climate change,"This is particularly true for the avenue planting and solitary beeches, which are part of the original planting.",56.0,0.0,exact
Water management,Water issues are managed adequately by water authorities,56.0,0.0,exact
Restoration,"damages caused by the climate, the environment or calamities will be repaired whenever necessary and possible",56.0,0.0,exact
Monitoring,A monitoring system will be introduced to provide basic information in a structured manner for the management of the OUV of the Colonies of Benevolence site,63.0,0.0,exact
Monitoring,Monitoring the state of maintenance of the attributes of the OUV,63.0,0.0,exact
Monitoring,"Early identification of developments and trends, both in and outside the World Heritage site, which may affect the OUV. ",63.0,0.0,exact
Monitoring,This constitutes the basis for interventions and measures to ensure the orderly management of the developments and trends,63.0,0.0,exact
Monitoring,"Monitoring the progress of the management measures, so that adjustments can be made where necessary",64.0,0.0,exact
Monitoring,Compliance with the World Heritage Committee requirement to produce a report on the site every six years (periodic reporting,64.0,0.0,exact
Monitoring,The starting point for the monitoring system is the information that has become available in the context of the nomination (baseline situation,64.0,0.0,exact
Climate change,Risks affecting the sites include the impact of climate change and economic pressure on agriculture.,93.0,0.0,exact
Monitoring,These risks are managed through established systems of land management overseen by the assigned Site holder and Colony management,93.0,0.0,exact
Assessment,analyses have been carried out regarding the trends and developments that might affect the OUV and the spatial quality of the Colonies now or later,281.0,0.0,exact
Climate change,"residential development pressure, business development pressure, changed agricultural use, recreation and tourism, comprehensive water management, infrastructure and traffic, nature and landscape, heritage and archaeology, climate changes/calamities and cumulation of (small-scale) interventions",281.0,0.0,fuzzy split (first half)
